AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_018406	0	0	2.0	0	0	0	0
NM_001261424	0	0	6.0	0	0	0	0
NM_001005501	0	0	0	0	0	0	0
NM_021033	535.0	1	190.0	536.0	76.0	39.0	413.0
NM_001300940	65.0	0	90.0	65.0	35.0	5.0	25.0
NM_001010	7970.0	10	145.0	7980.0	6873.0	995.0	112.0
NM_001177701	75.0	11	120.0	86.0	46.0	29.0	5.0
NM_024692	205.0	12	323.0	217.0	110.0	17.0	88.0
NM_001321526	3.0	0	0	3.0	3.0	0	0
NM_001165974	0	0	1.0	0	0	0	0
NM_172138	0	0	0	0	0	0	0
NM_183040	55.0	8	674.0	63.0	47.0	3.0	9.0
NM_004598	9.0	0	129.0	9.0	4.0	0	5.0
NM_001320010	0	0	0	0	0	0	0
NM_001281834	1414.0	16	361.0	1430.0	121.0	68.0	1235.0
NM_001122770	110.0	2	32.0	112.0	87.0	7.0	17.0
NM_001206541	574.0	62	943.0	636.0	383.0	41.0	211.0
NM_004147	203.0	13	78.0	216.0	140.0	36.0	36.0
NM_203298	230.0	10	16.0	240.0	126.0	19.0	72.0
NM_021027	0	0	0	0	0	0	0
NM_001243746	0	0	2.0	0	0	0	0
NM_001145545	0	0	0	0	0	0	0
NM_015097	837.0	103	1402.0	940.0	740.0	43.0	148.0
NM_001350208	519.0	33	994.0	552.0	331.0	88.0	125.0
