"Gene","TEfc","RNAfc","L24","S15","L24overS15"
"PRNP",0.036768712777576,-0.523005703569257,"noChange","noChange","noChange"
"PPT1",0.0388689540761783,-1.02499985733526,"noChange","noChange","noChange"
"TPI1",-0.407451575650881,-0.9141619638486,"noChange","noChange","noChange"
"TMX3",-0.201589475347696,-0.636649632044046,"noChange","down","up"
"ZNF462",0.630003523541092,0.589833491085628,"noChange","noChange","noChange"
"NGRN",-0.149111814487233,0.970249331506612,"noChange","noChange","noChange"
"FCHO2",-0.216963712845721,2.21612993184949,"noChange","noChange","noChange"
"ZNF653",0.409566086385502,2.42910950231859,"noChange","noChange","noChange"
"GINM1",-0.334847414092479,0.658067053039615,"noChange","noChange","noChange"
"MPC1",-0.40714238018435,0.453299071870081,"noChange","noChange","up"
"TERF1",-0.18236519878879,-0.0270355980555472,"noChange","noChange","noChange"
"TMEM147",-0.192525751719804,-0.287121689775485,"noChange","noChange","noChange"
"TASOR2",-0.419811063754649,0.0661627603245298,"noChange","noChange","noChange"
"SLC25A44",0.274116792710847,-0.288343486008163,"noChange","noChange","noChange"
"RPRD1A",-0.15341847143525,-0.418992353477227,"noChange","noChange","noChange"
"JRK",0.0239389667592027,0.235907446248403,"noChange","noChange","noChange"
"SRSF6",-0.156194238688524,-0.125700146995912,"noChange","noChange","noChange"
"CAMK1D",-0.379986939135825,1.94728750339494,"noChange","noChange","noChange"
"STK16",0.210515252411801,0.826212252517869,"noChange","noChange","noChange"
"CNKSR3",-0.409501883225319,-2.05457093965287,"noChange","noChange","noChange"
"CCDC117",-0.015880726052509,1.46390205212965,"noChange","noChange","noChange"
"VAMP3",0.133152564399431,0.485639286381243,"noChange","noChange","noChange"
"SNAP29",0.0314776428671463,0.322426567272873,"noChange","noChange","noChange"
"UNKL",0.159357081093837,1.14858176492645,"noChange","noChange","noChange"
"TXNL1",-0.276738996298079,0.644197240578302,"noChange","noChange","noChange"
"UBE4A",0.159738369370833,-0.113322758684304,"noChange","noChange","noChange"
"MPI",0.563803806707835,-2.0659640116699,"noChange","noChange","noChange"
"ARRDC1",0.576755260550629,-1.44984679649025,"noChange","noChange","noChange"
"XRN2",-0.33874033737876,-1.01352715214424,"noChange","noChange","noChange"
"PWP1",-0.548457421796461,-1.03234920639983,"noChange","noChange","noChange"
"RPSA",-0.0343831376221004,-0.224636530940047,"noChange","noChange","noChange"
"MARCH7",-0.209413914084805,0.335197436215356,"noChange","noChange","noChange"
